marca,nome_cor,preco_painel,url_imagem
berneck,Preto Design,315,https://www.berneck.com.br/uploads/Preto_Design_3d5b20ac3b.jpg
duratex,Bétula,330,https://www.duratexmadeira.com.br/assets/2024/02/BETULA-copiar-1.png.webp
duratex,Azul Profundo,330,https://www.duratexmadeira.com.br/assets/2024/02/AZUL-PROFUNDO-1.png.webp
duratex,Nogueira Asti,330,https://www.duratexmadeira.com.br/assets/2024/02/NOGUEIRA-ASTIS-copiar-1.png.webp
duratex,Linho Belga,330,https://www.duratexmadeira.com.br/assets/2024/02/LINHO-BELGA-copiar-1.png.webp
duratex,Fusion,330,https://www.duratexmadeira.com.br/assets/2024/02/fusion1-1.png.webp
duratex,Teka Soho,330,https://www.duratexmadeira.com.br/assets/2024/02/TEKA-SOHO-1-copiar-1.png.webp
duratex,Downtown,330,https://www.duratexmadeira.com.br/assets/2024/02/DOWNTOWN-SERRA-copiar-1.png.webp
duratex,Gianduia Puro,330,https://www.duratexmadeira.com.br/assets/2024/02/GIANDUIA-PURO-1.png.webp
duratex,Rovere Braga,330,https://www.duratexmadeira.com.br/assets/2024/02/ROVERE-BRAGA-2-copiar-3.png.webp
duratex,Blush,330,https://www.duratexmadeira.com.br/assets/2024/02/BLUSH-copiar-1.png.webp
duratex,Quartzo Bienna,330,https://www.duratexmadeira.com.br/assets/2023/02/Quartzo-Bienna.png.webp
duratex,Nogueira Bourbon,330,https://www.duratexmadeira.com.br/assets/2025/02/nogueira-bourbon-1.png
duratex,Pérola Absoluto,330,https://www.duratexmadeira.com.br/assets/2025/02/perola-absoluto-1.png
duratex,Zinco,330,https://www.duratexmadeira.com.br/assets/2025/02/zinco-1.png
duratex,Off-White Suave,330,https://www.duratexmadeira.com.br/assets/2024/02/OFF-WHITE-SUAVE-2-copiar-1.png.webp
duratex,Moss Absoluto,330,https://www.duratexmadeira.com.br/assets/2025/02/moss-absoluto-1.png
duratex,Galáxia,330,https://www.duratexmadeira.com.br/assets/2023/08/Galaxia.png.webp
duratex,Partitura,330,https://www.duratexmadeira.com.br/assets/2023/08/Partitura.png.webp
duratex,Cosmos,330,https://www.duratexmadeira.com.br/assets/2023/08/Cosmos.png.webp
duratex,Encontros,330,https://www.duratexmadeira.com.br/assets/2023/08/Encontros.png.webp
duratex,Camadas Brasileiras,330,https://www.duratexmadeira.com.br/assets/2023/08/CamadasBrasileiras.png.webp
duratex,Ginga com Tapioca,330,https://www.duratexmadeira.com.br/assets/2023/08/GingaComTapica.png.webp
duratex,Legno,330,https://www.duratexmadeira.com.br/assets/2023/08/Legno.png.webp
duratex,Chevron,330,https://www.duratexmadeira.com.br/assets/2023/08/Chevron.png.webp
duratex,Delicate,330,https://www.duratexmadeira.com.br/assets/2023/08/Delicate.png.webp
duratex,Canelado,330,https://www.duratexmadeira.com.br/assets/2023/08/Canelado.png.webp
duratex,Calacata Gold,330,https://www.duratexmadeira.com.br/assets/2023/08/CalatacaGold.png.webp
duratex,Trevi,330,https://www.duratexmadeira.com.br/assets/2024/03/Trevi_Acetinatta.png.webp
duratex,Tape,330,https://www.duratexmadeira.com.br/assets/2025/02/Tape_274mX184m.png
duratex,Ruvia,330,https://www.duratexmadeira.com.br/assets/2025/02/Ruvia_274mX184m.png
duratex,Lago,330,https://www.duratexmadeira.com.br/assets/2025/02/Lago_274mX184m.png
duratex,NexGeo,330,https://www.duratexmadeira.com.br/assets/2025/02/NEX-GEO-DURATEX-YOU.png
duratex,Bossa,330,https://www.duratexmadeira.com.br/assets/2025/02/Bossa_274mX184m.png
